,time,BTCUSDT,ETHUSDT,SOLUSDT,BCHUSDT,XRPUSDT,LTCUSDT,ADAUSDT,LINKUSDT,DOGEUSDT,WIFUSDT,MATICUSDT,UNIUSDT,AAVEUSDT,DYDXUSDT,CRVUSDT,z_score_BTCUSDT,z_score_ETHUSDT,z_score_SOLUSDT,z_score_BCHUSDT,z_score_XRPUSDT,z_score_LTCUSDT,z_score_ADAUSDT,z_score_LINKUSDT,z_score_DOGEUSDT,z_score_WIFUSDT,z_score_MATICUSDT,z_score_UNIUSDT,z_score_AAVEUSDT,z_score_DYDXUSDT,z_score_CRVUSDT
0,2024-03-24 17:45:00,65332.0,3368.17,174.3992,473.58,0.62727,89.74,0.62998,18.112,0.17066,2.3856,0.992,11.7701,121.102,3.358,0.6643,,,,,,,,,,,,,,,
1,2024-03-24 18:00:00,65589.8,3378.95,175.0826,467.4,0.63038,89.57,0.63222,18.18,0.171331,2.412,0.9957,11.824,121.932,3.373,0.6681,,,,,,,,,,,,,,,
2,2024-03-24 18:15:00,65702.1,3380.87,175.6508,468.06,0.63067,89.93,0.63408,18.216,0.171809,2.4386,0.9994,11.847,122.126,3.377,0.6683,,,,,,,,,,,,,,,
3,2024-03-24 18:30:00,65817.7,3386.02,176.3294,465.98,0.62909,89.53,0.63281,18.21,0.17343,2.4991,0.9989,11.86,122.432,3.375,0.6688,,,,,,,,,,,,,,,
4,2024-03-24 18:45:00,65860.2,3387.49,176.5563,466.58,0.63066,89.78,0.63369,18.206,0.173,2.4744,0.9979,11.848,122.205,3.376,0.6684,,,,,,,,,,,,,,,
5,2024-03-24 19:00:00,65872.0,3386.4,176.5977,464.92,0.63088,89.57,0.63499,18.226,0.173874,2.5532,0.9965,11.872,122.47,3.382,0.6698,,,,,,,,,,,,,,,
6,2024-03-24 19:15:00,65728.4,3385.25,176.8058,462.21,0.63033,89.53,0.63503,18.221,0.174542,2.5673,0.9979,11.8992,122.655,3.382,0.6696,,,,,,,,,,,,,,,
7,2024-03-24 19:30:00,65857.5,3386.19,176.5894,464.94,0.63028,89.41,0.63434,18.199,0.174615,2.5786,0.9993,11.911,122.352,3.384,0.671,,,,,,,,,,,,,,,
8,2024-03-24 19:45:00,65845.4,3383.35,176.1505,463.09,0.6301,89.62,0.63397,18.206,0.173999,2.566,0.9994,11.901,122.45,3.38,0.6708,,,,,,,,,,,,,,,
9,2024-03-24 20:00:00,66228.2,3399.01,177.0711,464.61,0.63108,90.1,0.6364,18.257,0.176358,2.5743,1.0013,11.944,122.912,3.391,0.6729,,,,,,,,,,,,,,,
