time,INJUSDT,NEARUSDT,ENSUSDT,JUPUSDT,GMXUSDT,HYPEUSDT,AAVEUSDT,PEPEUSDT,UMAUSDT,BCHUSDT,LTCUSDT,LINKUSDT
2024-04-04 09:45:00,32.82,6.8605,19.774,1.5693,40.51,,115.847,0.0000070238,,671.88,103,17.908
2024-04-04 10:00:00,32.7,6.843,19.709,1.5539,40.45,,115.484,0.0000069947,,665.95,102.14,17.851
2024-04-04 10:15:00,32.938,6.832,19.809,1.5583,40.63,,115.837,0.0000070189,,667.39,101.51,17.915
2024-04-04 10:30:00,32.863,6.7595,19.75,1.5582,40.69,,115.508,0.0000069988,,666.6,101.22,17.889
2024-04-04 10:45:00,32.94,6.787,19.793,1.5611,40.67,,115.557,0.0000070017,,669.16,101.06,17.867
2024-04-04 11:00:00,32.808,6.701,19.792,1.5489,40.56,,115.097,0.0000069487,,656.86,100.23,17.824
2024-04-04 11:15:00,32.859,6.7275,19.871,1.558,40.7,,115.374,0.0000069952,,654.82,99.99,17.853
2024-04-04 11:30:00,33.21,6.84,19.92,1.5656,40.78,,115.779,0.0000070238,,655.4,100.46,17.903
2024-04-04 11:45:00,33.584,6.856,19.877,1.5626,40.69,,115.749,0.00000699,,644.17,100.25,17.865
2024-04-04 12:00:00,33.413,6.8765,19.942,1.5852,40.78,,116.077,0.0000070313,,648.58,100.31,17.926
2024-04-04 12:15:00,33.372,6.9315,19.955,1.5854,40.83,,116.097,0.0000070076,,644.57,99.88,17.934
2024-04-04 12:30:00,33.429,6.9625,19.991,1.5785,40.93,,116.409,0.0000070055,,650.63,100.51,17.963
2024-04-04 12:45:00,33.552,6.9515,19.957,1.585,40.83,,116.486,0.0000070121,,652.7,100.5,17.922
2024-04-04 13:00:00,33.767,6.9235,20.028,1.61,41.04,,116.938,0.0000070622,,653.24,101.09,18.01
2024-04-04 13:15:00,33.768,6.9165,20.057,1.6098,41.17,,117.608,0.000007094,,657.24,100.95,18.087
2024-04-04 13:30:00,33.918,6.879,20.103,1.6145,41.27,,117.958,0.0000071002,,662.38,101.31,18.105
2024-04-04 13:45:00,33.715,6.822,20.027,1.5805,41.19,,117.625,0.0000070252,,651.41,100.63,18.047
2024-04-04 14:00:00,33.828,6.8635,20.108,1.588,41.22,,117.997,0.000007079,,639.25,100.67,18.1
2024-04-04 14:15:00,33.712,6.882,20.013,1.5784,41.11,,117.333,0.0000070677,,639.47,99.46,17.998
2024-04-04 14:30:00,33.89,6.967,20.104,1.5939,41.29,,117.685,0.0000071148,,643.18,100,18.089
2024-04-04 14:45:00,33.811,6.9465,20.049,1.5904,41.17,,117.567,0.0000070847,,641.54,99.61,18.052
2024-04-04 15:00:00,33.679,6.9305,19.966,1.5847,41.07,,117.287,0.000007035,,636.89,99.34,18.021
2024-04-04 15:15:00,33.609,6.967,19.917,1.5795,41.06,,117.216,0.0000070285,,634.13,99.47,17.997
