time,BTCUSDT,ETHUSDT,XRPUSDT,EOSUSDT,BCHUSDT,LTCUSDT,ADAUSDT,ETCUSDT,LINKUSDT,DOGEUSDT,SOLUSDT,MATICUSDT,BNBUSDT,UNIUSDT,ICPUSDT,AAVEUSDT,XLMUSDT,ATOMUSDT,XTZUSDT,SUSHIUSDT,AXSUSDT,THETAUSDT,AVAXUSDT,SHIBUSDT,MANAUSDT,GALAUSDT,SANDUSDT,DYDXUSDT,CRVUSDT
2024-02-28 16:15:00,61460.4,3383.36,0.59779,0.8575,305.49,76.11,0.64783,29.041,20.179,0.105031,116.1415,1.0555,416.9,10.8498,13.249,107.004,0.12398,11.6,1.207,1.571,9.111,1.9919,40.783,0.000011415,0.5812,0.03941,0.5718,3.636,0.6215
2024-02-28 16:30:00,61713.1,3385.48,0.59794,0.862,307.22,76.07,0.65069,29.176,20.125,0.109104,116.1253,1.0568,418.45,10.895,13.328,107.573,0.12408,11.595,1.209,1.5753,9.2349,2.0294,40.772,0.000011627,0.5853,0.03918,0.574,3.634,0.6252
2024-02-28 16:45:00,62522.2,3427.81,0.60165,0.8648,308.41,77.32,0.65397,29.75,20.156,0.119004,116.4332,1.0631,420.3,11.067,13.286,107.814,0.12463,11.657,1.213,1.5794,9.362,1.9976,40.844,0.000012241,0.5909,0.03892,0.5771,3.63,0.6239
2024-02-28 17:00:00,63965.7,3488.15,0.60582,0.874,312.63,77.94,0.66038,30.261,20.282,0.119236,116.9963,1.0695,426.24,11.145,13.39,108.554,0.12527,11.718,1.221,1.5823,9.448,2.011,41.24,0.000012272,0.6047,0.039,0.5833,3.641,0.6314
2024-02-28 17:15:00,61949.6,3430.16,0.58789,0.8465,302.09,75.27,0.64352,29.5,19.737,0.11136,113.0767,1.0363,414.47,10.8271,12.96,105.575,0.12237,11.406,1.191,1.5253,9.1501,1.9442,39.904,0.000011527,0.5841,0.0378,0.5648,3.495,0.6097
2024-02-28 17:30:00,61385.1,3369.33,0.56735,0.8268,295.7,73.91,0.62818,28.911,19.218,0.110556,111.2936,1.0041,411.45,10.5649,12.452,103.106,0.11964,11.216,1.172,1.433,8.9324,1.9266,39.035,0.000011282,0.5691,0.03702,0.5479,3.33,0.5861
2024-02-28 17:45:00,61445.8,3342.49,0.57212,0.8304,298.22,74.12,0.62797,28.836,19.23,0.109571,114.8598,1.0083,412.16,10.5481,12.41,103.709,0.12082,11.34,1.18,1.4424,9.286,1.9518,39.359,0.000011381,0.5812,0.03789,0.552,3.34,0.5875
2024-02-28 18:00:00,60804.8,3313.92,0.56531,0.8184,294.67,73.23,0.61722,28.494,18.956,0.108007,112.3144,0.9956,407.92,10.5086,12.181,102.68,0.1188,11.14,1.16,1.4296,9.1277,1.9477,38.674,0.000011221,0.571,0.03683,0.5436,3.323,0.5775
2024-02-28 18:15:00,60305.9,3271.82,0.55988,0.81,292.81,72.76,0.60898,28.228,18.745,0.105595,110.8748,0.9852,405.92,10.3589,12.114,101.13,0.1181,11.015,1.148,1.412,8.974,1.9356,38.116,0.000010954,0.5626,0.03622,0.5331,3.259,0.57
2024-02-28 18:30:00,60669.1,3295.9,0.56239,0.8107,293.61,72.94,0.61342,28.397,18.886,0.107173,111.5374,0.9822,408.31,10.396,12.342,101.53,0.11845,11.072,1.156,1.4272,8.89,1.9178,38.192,0.00001111,0.5616,0.03628,0.536,3.262,0.575
2024-02-28 18:45:00,61155,3320.99,0.56703,0.8157,295.53,73.37,0.61965,28.697,19.025,0.10911,113.2476,0.991,409.3,10.497,12.363,102.208,0.11918,11.126,1.169,1.4381,8.9338,1.945,38.778,0.000011209,0.5716,0.03681,0.5399,3.296,0.5805
2024-02-28 19:00:00,61177.4,3315.56,0.56571,0.811,294.8,72.84,0.61906,28.62,18.951,0.110865,112.9217,0.9859,407.7,10.516,12.297,101.938,0.11916,11.096,1.162,1.4378,8.8655,1.9353,38.665,0.000011229,0.5652,0.03662,0.5357,3.286,0.5781
2024-02-28 19:15:00,61450,3325.24,0.56821,0.8148,295.55,73.32,0.62392,29.003,19.072,0.117472,113.045,0.9887,410.04,10.603,12.368,103.229,0.11982,11.137,1.164,1.4658,8.9131,1.9266,38.903,0.000011624,0.5675,0.03689,0.5372,3.318,0.5822
2024-02-28 19:30:00,60846.7,3291.72,0.56522,0.811,294.91,72.98,0.61763,28.979,18.889,0.11384,111.9915,0.9821,408.18,10.4832,12.399,102.56,0.11937,11.089,1.157,1.4656,8.835,1.9196,38.653,0.000011451,0.5633,0.03701,0.5343,3.297,0.5795
2024-02-28 19:45:00,61012.5,3301.23,0.56531,0.812,296.89,73.04,0.61875,29.089,18.893,0.113081,111.3566,0.9842,407.97,10.4674,12.545,102.59,0.11936,11.084,1.165,1.4797,8.8359,1.9233,38.557,0.000011417,0.5617,0.03725,0.5349,3.292,0.5812
2024-02-28 20:00:00,60623.5,3277.74,0.5633,0.8091,295.35,72.82,0.61556,28.889,18.842,0.112591,111.0417,0.978,405.74,10.4579,12.42,102.121,0.11881,11.069,1.159,1.4719,8.7996,1.9152,38.389,0.000011274,0.5566,0.03712,0.5326,3.278,0.5798
2024-02-28 20:15:00,59989.6,3260.9,0.56161,0.8084,294.34,72.81,0.61257,28.702,18.789,0.111985,110.7096,0.9756,405.01,10.4926,12.33,102.05,0.11864,11.06,1.158,1.4817,8.852,1.921,38.291,0.000011326,0.557,0.0371,0.5324,3.276,0.5801
2024-02-28 20:30:00,60080.8,3282.13,0.56731,0.8155,295.62,73.41,0.61811,28.976,18.94,0.113749,111.7406,0.9833,407.08,10.6481,12.448,103.487,0.11966,11.167,1.168,1.497,8.96,1.9227,38.652,0.000011425,0.5639,0.0373,0.5379,3.332,0.5864
2024-02-28 20:45:00,60453.2,3302.39,0.56862,0.8191,296.86,73.63,0.62264,29.183,19.045,0.114576,112.3617,0.9886,407.6,10.8394,12.411,103.967,0.11981,11.182,1.175,1.4923,8.981,1.9254,39.001,0.000011431,0.5664,0.0374,0.5396,3.36,0.591
2024-02-28 21:00:00,60139.4,3293.26,0.56762,0.8191,295.7,73.44,0.62156,29.065,18.966,0.113089,112.4783,0.9875,406.5,10.922,12.371,103.839,0.11974,11.162,1.172,1.493,8.959,1.9293,39.093,0.000011364,0.5677,0.03725,0.5399,3.342,0.5921
2024-02-28 21:15:00,60517,3321.18,0.57234,0.8245,296.93,73.9,0.6247,29.179,19.074,0.11486,114.1071,0.9998,408.68,10.805,12.386,104.436,0.1201,11.231,1.177,1.4935,9.1142,1.9308,39.495,0.000011478,0.5767,0.03753,0.5485,3.367,0.5972
2024-02-28 21:30:00,60533.5,3323.14,0.57179,0.8263,295.95,74,0.62752,29.211,19.14,0.114746,115.8809,1.0019,409.28,10.78,12.438,104.39,0.12003,11.278,1.179,1.4877,9.1293,1.9242,40.099,0.00001146,0.5789,0.03763,0.5551,3.375,0.596
2024-02-28 21:45:00,60593.3,3326.33,0.57283,0.8271,297.23,73.9,0.62728,29.019,19.171,0.11388,116.2945,1.0027,409.5,10.8697,12.39,104.695,0.12035,11.313,1.18,1.4909,9.177,1.9243,40.153,0.000011356,0.5822,0.03754,0.5537,3.421,0.5941
2024-02-28 22:00:00,61148.8,3343.53,0.57518,0.8271,298,74.2,0.636,29.216,19.234,0.114133,117.7258,1.007,411.44,10.8923,12.46,105.389,0.12085,11.314,1.186,1.5007,9.143,1.9233,40.799,0.000011475,0.579,0.03725,0.5547,3.454,0.596
2024-02-28 22:15:00,61390.4,3345.12,0.5761,0.8291,297.9,74.44,0.63153,29.349,19.281,0.116119,116.9177,1.0143,412.14,10.9123,12.554,105.159,0.12124,11.34,1.191,1.5032,9.0903,1.9182,40.303,0.000011602,0.5788,0.0372,0.5547,3.42,0.5968
2024-02-28 22:30:00,61296,3339.52,0.57429,0.8283,294.05,74.33,0.63015,29.162,19.185,0.115181,116.1227,1.0076,411.17,10.8368,12.54,105.459,0.12101,11.4,1.191,1.4959,9.0243,1.9257,39.997,0.000011835,0.5744,0.03739,0.5523,3.393,0.5952
2024-02-28 22:45:00,61301.3,3342.66,0.57317,0.8317,294.33,74.51,0.62975,29.173,19.2,0.115967,115.9724,1.0089,411.53,10.8281,12.544,105.129,0.12081,11.425,1.196,1.4928,9.0415,1.9282,39.941,0.000011697,0.5746,0.03749,0.5554,3.385,0.5941
