time,BTCUSDT,ETHUSDT,BNBUSDT,SOLUSDT,XRPUSDT,DOGEUSDT,TONUSDT,ADAUSDT,SHIBUSDT,AVAXUSDT,TRXUSDT,LINKUSDT,UNIUSDT,DOTUSDT,BCHUSDT,NEARUSDT,LTCUSDT,POLUSDT,PEPEUSDT,ICPUSDT,KASUSDT,FETUSDT,ETCUSDT,APTUSDT,HBARUSDT,FILUSDT,STXUSDT,XLMUSDT,ARBUSDT,IMXUSDT,INJUSDT,WIFUSDT,SUIUSDT,GRTUSDT
2024-03-08 14:30:00,68397,3977.61,484.49,149.7298,0.62791,0.170213,2.79,0.73623,0.000036533,43.783,0.13708,19.97,14.9322,10.5,436.79,5.379,88.41,,0.0000089741,14.503,,2.5592,38.858,13.07,0.1294,10.22,2.8798,0.14214,2.2604,3.3839,42.034,2.1309,1.53626,0.33694
2024-03-08 14:45:00,68484.4,3975.81,485.44,151.9525,0.62728,0.168769,2.791,0.7379,0.000035732,43.808,0.13708,20.12,14.82,10.515,436.93,5.414,88.33,,0.0000087181,14.451,,2.59,38.711,13.126,0.12818,10.117,2.8991,0.14182,2.234,3.3763,42.371,2.1286,1.54418,0.33656
2024-03-08 15:00:00,68857.5,3969.76,483.15,151.663,0.6262,0.169619,2.778,0.73438,0.000035627,43.519,0.13689,20.048,14.8013,10.54,441.23,5.412,88.23,,0.0000085594,14.453,,2.6604,38.529,13.074,0.12789,10.088,2.899,0.14128,2.2056,3.3564,42.984,2.1403,1.54552,0.33567
2024-03-08 15:15:00,69726.8,3994.72,482.52,149.6936,0.62866,0.170664,2.787,0.74124,0.000035775,43.36,0.137,20.068,14.8989,10.507,444.65,5.396,89.16,,0.0000086165,14.512,,2.5738,39.129,13.026,0.12775,10.177,2.9998,0.14229,2.1891,3.3351,42.389,2.1205,1.53261,0.33501
2024-03-08 15:30:00,68284.8,3941.93,478.47,146.707,0.61728,0.166282,2.735,0.72432,0.000035002,42.729,0.13647,19.877,14.7857,10.3,434.88,5.3215,87.13,,0.0000085277,14.352,,2.8,38.132,12.993,0.12719,9.986,2.8969,0.14037,2.1571,3.2956,42.03,2.1234,1.51591,0.33447
2024-03-08 15:45:00,67651.9,3901.36,472.25,145.5645,0.61448,0.16311,2.725,0.71963,0.000034389,42.449,0.13635,19.709,14.521,10.228,432.55,5.34,86.45,,0.0000085761,14.277,,2.7543,37.778,12.852,0.12673,10.141,2.852,0.13921,2.1376,3.2803,41.791,2.0919,1.50772,0.33704
2024-03-08 16:00:00,66483.4,3831.06,464.46,142.6674,0.60403,0.159703,2.695,0.70212,0.000033175,41.198,0.13582,19.295,14.226,9.986,418.88,5.243,84.7,,0.0000083071,14.023,,2.7122,37.028,12.667,0.12495,9.859,2.7811,0.13695,2.0985,3.2248,41.011,2.0922,1.48923,0.33028
2024-03-08 16:15:00,66857,3862.22,469.48,145.1269,0.6091,0.162876,2.72,0.71262,0.000034172,41.837,0.13595,19.472,14.4489,10.121,425.95,5.283,85.77,,0.000008613,14.171,,2.731,37.43,12.794,0.12662,10.043,2.7924,0.13801,2.127,3.2708,41.465,2.0977,1.50532,0.33936
2024-03-08 16:30:00,67330.2,3884.77,475.34,147.773,0.61451,0.165432,2.739,0.72207,0.000035114,42.335,0.1362,19.698,14.5771,10.223,429.4,5.4125,86.68,,0.0000089169,14.324,,2.8311,37.923,12.927,0.1282,10.11,2.8448,0.13966,2.1565,3.3103,41.919,2.0955,1.50837,0.34309
2024-03-08 16:45:00,67846.4,3907.84,478.2,148.696,0.61772,0.166346,2.759,0.72386,0.0000352,42.559,0.13636,19.917,14.8278,10.267,433.61,5.4085,87.55,,0.0000090202,14.413,,2.8322,38.176,12.946,0.12823,10.119,2.8515,0.13998,2.1704,3.3526,41.924,2.0968,1.52031,0.34193
2024-03-08 17:00:00,67962.9,3908.18,479.19,148.1111,0.62112,0.166207,2.766,0.72492,0.000035107,42.467,0.13638,19.784,14.609,10.296,433.58,5.4165,87.31,,0.0000089774,14.444,,2.8506,38.243,12.912,0.12802,10.281,2.8562,0.14024,2.1631,3.3863,41.724,2.1165,1.51896,0.34353
