,time,BTCUSDT,ETHUSDT,SOLUSDT,BCHUSDT,XRPUSDT,LTCUSDT,ADAUSDT,LINKUSDT,DOGEUSDT,WIFUSDT,MATICUSDT,UNIUSDT,AAVEUSDT,DYDXUSDT,CRVUSDT,z_score_BTCUSDT,z_score_ETHUSDT,z_score_SOLUSDT,z_score_BCHUSDT,z_score_XRPUSDT,z_score_LTCUSDT,z_score_ADAUSDT,z_score_LINKUSDT,z_score_DOGEUSDT,z_score_WIFUSDT,z_score_MATICUSDT,z_score_UNIUSDT,z_score_AAVEUSDT,z_score_DYDXUSDT,z_score_CRVUSDT
0,2024-03-18 11:00:00,68275.0,3599.46,208.1018,404.67,0.61205,85.03,0.68303,19.237,0.148466,3.2651,1.0692,12.2309,126.065,3.556,0.6816,,,,,,,,,,,,,,,
1,2024-03-18 12:00:00,68584.7,3599.59,209.1625,406.32,0.61219,85.08,0.68324,19.263,0.149129,3.2406,1.0686,12.2809,125.826,3.565,0.6843,,,,,,,,,,,,,,,
2,2024-03-18 13:00:00,67564.9,3546.6,204.7865,392.42,0.60309,83.38,0.66415,18.825,0.144361,3.0885,1.0491,11.989,123.259,3.466,0.667,,,,,,,,,,,,,,,
3,2024-03-18 14:00:00,67011.0,3515.35,202.0111,387.72,0.60228,82.62,0.65485,18.498,0.143812,2.832,1.0356,11.83,121.596,3.382,0.6536,,,,,,,,,,,,,,,
4,2024-03-18 15:00:00,67481.6,3526.85,204.1107,393.82,0.60658,82.95,0.66109,18.602,0.143949,2.8273,1.0394,11.94,122.625,3.369,0.6613,,,,,,,,,,,,,,,
5,2024-03-18 16:00:00,67120.1,3502.98,199.8716,389.29,0.60311,81.97,0.6534,18.441,0.14192,2.7333,1.0271,11.73,120.926,3.323,0.6511,,,,,,,,,,,,,,,
6,2024-03-18 17:00:00,67380.2,3510.03,197.8286,389.47,0.60215,82.15,0.65322,18.389,0.142297,2.6897,1.0261,11.786,121.083,3.32,0.6537,,,,,,,,,,,,,,,
7,2024-03-18 18:00:00,67000.0,3478.43,199.3203,385.7,0.60407,81.87,0.64701,18.139,0.142192,2.7089,1.0137,11.6868,119.654,3.285,0.6435,,,,,,,,,,,,,,,
8,2024-03-18 19:00:00,66907.0,3479.63,198.5737,387.42,0.60385,82.22,0.6503,18.196,0.142225,2.6722,1.0166,11.695,120.433,3.298,0.6447,,,,,,,,,,,,,,,
9,2024-03-18 20:00:00,67362.8,3510.05,200.5737,391.42,0.60792,83.17,0.65539,18.442,0.143406,2.6748,1.0271,11.7932,123.204,3.335,0.6534,,,,,,,,,,,,,,,
