time,INJUSDT,NEARUSDT,ENSUSDT,JUPUSDT,GMXUSDT,HYPEUSDT,AAVEUSDT,PEPEUSDT,UMAUSDT,BCHUSDT,LTCUSDT,LINKUSDT
2025-02-07 01:45:00,13.488,3.24,26.152,0.842,17.05,24.16,244.65,0.0000093972,1.582,322.14,104.73,18.898
2025-02-07 02:00:00,13.547,3.24,26.144,0.8434,16.91,24.155,244.99,0.0000093796,1.577,321.95,104.96,18.933
2025-02-07 02:15:00,13.471,3.243,26.182,0.8452,16.85,24.181,244.5,0.0000094163,1.576,321.89,104.36,18.927
2025-02-07 02:30:00,13.478,3.228,26.168,0.8379,16.85,24.246,244.58,0.0000094176,1.573,321.86,104.41,18.894
2025-02-07 02:45:00,13.597,3.238,26.23,0.8439,16.88,24.44,246.8,0.0000094598,1.578,322.66,104.33,18.92
2025-02-07 03:00:00,13.538,3.237,26.242,0.8414,16.83,24.333,247.51,0.0000094718,1.576,322.42,103.71,18.88
2025-02-07 03:15:00,13.421,3.221,26.121,0.8372,16.79,24.115,245.93,0.000009425,1.566,321.03,103.61,18.819
2025-02-07 03:30:00,13.304,3.207,25.924,0.8294,16.73,24.107,244.15,0.0000093585,1.555,319.9,103.16,18.706
2025-02-07 03:45:00,13.412,3.224,26.054,0.8328,16.74,24.189,245.9,0.0000094098,1.564,321.69,104.02,18.803
2025-02-07 04:00:00,13.43,3.233,26.216,0.84,16.76,24.253,246.91,0.0000094392,1.569,322.73,104.07,18.919
2025-02-07 04:15:00,13.417,3.236,26.182,0.8434,16.76,24.358,246.82,0.0000094285,1.563,322.26,103.73,18.901
2025-02-07 04:30:00,13.365,3.226,26.124,0.8374,16.73,24.274,244.29,0.0000094034,1.562,321.41,103.69,18.849
2025-02-07 04:45:00,13.33,3.225,26.079,0.8333,16.73,24.297,244.26,0.0000093461,1.56,321.43,103.37,18.815
2025-02-07 05:00:00,13.31,3.212,25.977,0.8336,16.74,24.221,243.1,0.0000092923,1.551,321.27,103.64,18.761
2025-02-07 05:15:00,13.28,3.204,25.875,0.8304,16.67,23.966,242.63,0.0000092454,1.551,320.29,103.46,18.705
2025-02-07 05:30:00,13.331,3.218,25.973,0.8353,16.84,23.968,243.05,0.0000092939,1.551,321.34,103.99,18.778
2025-02-07 05:45:00,13.33,3.217,25.978,0.8351,16.81,23.811,243.91,0.0000092716,1.553,321.73,104.3,18.779
2025-02-07 06:00:00,13.299,3.207,25.893,0.831,16.75,23.682,242.71,0.0000091715,1.554,320.56,104.39,18.739
2025-02-07 06:15:00,13.149,3.175,25.58,0.8204,16.56,23.335,239.96,0.0000090669,1.545,317.71,103.22,18.528
2025-02-07 06:30:00,13.067,3.163,25.473,0.8186,16.52,23.257,239.38,0.0000090371,1.543,316.51,103.13,18.484
2025-02-07 06:45:00,13.248,3.192,25.745,0.8236,16.68,23.303,240.43,0.0000090812,1.553,319.05,103.97,18.62
2025-02-07 07:00:00,13.327,3.212,25.826,0.8295,16.73,23.413,241.86,0.0000091941,1.559,319.97,104.43,18.727
2025-02-07 07:15:00,13.404,3.23,26.005,0.8335,16.81,23.531,243.81,0.0000093126,1.572,321.37,104.67,18.838
2025-02-07 07:30:00,13.41,3.233,25.959,0.8305,16.8,23.417,244.1,0.0000092931,1.563,321.3,104.95,18.817
2025-02-07 07:45:00,13.339,3.209,25.836,0.8294,16.78,23.3,242.8,0.0000092652,1.555,320.54,105.01,18.771
2025-02-07 08:00:00,13.363,3.22,25.916,0.831,16.76,23.245,243.45,0.0000093107,1.559,321.47,104.55,18.795
2025-02-07 08:15:00,13.389,3.221,25.864,0.8298,16.74,23.342,243.11,0.0000093242,1.555,321.47,104.69,18.802
2025-02-07 08:30:00,13.553,3.251,25.992,0.8352,16.89,23.379,245.87,0.0000093759,1.568,323.65,105.15,18.949
2025-02-07 08:45:00,13.545,3.25,25.9,0.8346,16.9,23.447,245.84,0.0000093552,1.566,323.24,104.86,18.894
2025-02-07 09:00:00,13.56,3.262,25.956,0.8393,16.94,23.551,247.17,0.0000093498,1.566,324.01,105.28,19.009
2025-02-07 09:15:00,13.694,3.27,26.138,0.8484,17,23.951,249.47,0.0000094052,1.58,325.68,105.5,19.104
2025-02-07 09:30:00,13.696,3.274,26.192,0.8454,17.01,23.871,250,0.0000094042,1.575,325.49,105.09,19.167
2025-02-07 09:45:00,13.743,3.291,26.221,0.8518,17.03,23.922,249.66,0.0000094778,1.576,326.16,105.03,19.212
2025-02-07 10:00:00,13.78,3.284,26.206,0.8488,17.02,23.981,248.64,0.0000094883,1.575,325.31,104.23,19.127
2025-02-07 10:15:00,13.797,3.268,26.271,0.8524,17,24.099,250.25,0.0000095216,1.579,326.09,104.44,19.229
2025-02-07 10:30:00,13.801,3.272,26.314,0.8533,16.98,24.01,249.62,0.000009563,1.575,325.8,104.1,19.222
2025-02-07 10:45:00,13.848,3.275,26.257,0.8535,16.99,23.858,250.22,0.0000095359,1.578,325.5,104.36,19.221
2025-02-07 11:00:00,13.976,3.291,26.38,0.8606,17.07,23.99,252.57,0.0000095774,1.586,326.72,104.81,19.288
2025-02-07 11:15:00,14.015,3.288,26.444,0.8583,17.1,23.978,252.01,0.0000095447,1.581,326.53,104.83,19.3
2025-02-07 11:30:00,14.009,3.282,26.376,0.8594,17.08,23.947,252.49,0.0000095237,1.573,326.09,104.53,19.246
2025-02-07 11:45:00,14.018,3.286,26.531,0.8607,17.15,24.24,254.15,0.0000095845,1.579,326.75,104.88,19.276
2025-02-07 12:00:00,13.849,3.269,26.35,0.8541,17.09,24.021,253.55,0.0000094913,1.572,325.7,104.5,19.205
2025-02-07 12:15:00,13.848,3.268,26.37,0.8555,17.21,24.095,254.25,0.0000094941,1.573,325.36,104.66,19.15
